Month of Month,County,Total ED Visits
August 2019,Caldwell,3831
September 2019,Caldwell,3982
October 2019,Caldwell,3988
November 2019,Caldwell,3686
December 2019,Caldwell,4309
January 2020,Caldwell,3923
February 2020,Caldwell,3776
March 2020,Caldwell,3426
April 2020,Caldwell,2171
May 2020,Caldwell,2851
June 2020,Caldwell,3008
July 2020,Caldwell,3328
August 2020,Caldwell,3425
September 2020,Caldwell,3404
October 2020,Caldwell,3398
November 2020,Caldwell,3140
December 2020,Caldwell,2993
January 2021,Caldwell,2854
February 2021,Caldwell,2662
March 2021,Caldwell,3103
April 2021,Caldwell,3180
May 2021,Caldwell,3182
June 2021,Caldwell,3399
July 2021,Caldwell,3851
August 2021,Caldwell,4116
September 2021,Caldwell,3906
October 2021,Caldwell,3858
November 2021,Caldwell,3307
December 2021,Caldwell,4098
January 2022,Caldwell,4149
February 2022,Caldwell,3305
March 2022,Caldwell,3743
April 2022,Caldwell,3699
May 2022,Caldwell,3758
June 2022,Caldwell,3814
July 2022,Caldwell,3969
August 2022,Caldwell,4104
September 2022,Caldwell,3705
October 2022,Caldwell,4099
November 2022,Caldwell,4030
December 2022,Caldwell,3721
January 2023,Caldwell,3772
February 2023,Caldwell,3447
March 2023,Caldwell,3659
April 2023,Caldwell,3595
May 2023,Caldwell,3773
June 2023,Caldwell,3569
July 2023,Caldwell,3624
August 2023,Caldwell,3713
September 2023,Caldwell,3697
October 2023,Caldwell,3701
November 2023,Caldwell,3553
December 2023,Caldwell,4533
January 2024,Caldwell,3752
February 2024,Caldwell,3517
March 2024,Caldwell,3798
April 2024,Caldwell,3543
May 2024,Caldwell,3710
June 2024,Caldwell,3478
July 2024,Caldwell,3696
August 2024,Caldwell,3585
September 2024,Caldwell,3690
October 2024,Caldwell,3578
November 2024,Caldwell,3410
December 2024,Caldwell,3591
January 2025,Caldwell,3759
February 2025,Caldwell,3615
March 2025,Caldwell,4120
January 2019,Cabarrus,7922
February 2019,Cabarrus,7826
March 2019,Cabarrus,8075
April 2019,Cabarrus,7813
May 2019,Cabarrus,8144
June 2019,Cabarrus,7554
July 2019,Cabarrus,7525
August 2019,Cabarrus,7498
September 2019,Cabarrus,7837
October 2019,Cabarrus,7851
November 2019,Cabarrus,7308
December 2019,Cabarrus,8696
January 2020,Cabarrus,8278
February 2020,Cabarrus,7569
March 2020,Cabarrus,6542
April 2020,Cabarrus,4353
May 2020,Cabarrus,5273
June 2020,Cabarrus,6059
July 2020,Cabarrus,6633
August 2020,Cabarrus,6776
September 2020,Cabarrus,6581
October 2020,Cabarrus,6965
November 2020,Cabarrus,6705
December 2020,Cabarrus,6887
January 2021,Cabarrus,6779
February 2021,Cabarrus,5754
March 2021,Cabarrus,6859
April 2021,Cabarrus,7383
May 2021,Cabarrus,7631
June 2021,Cabarrus,7665
July 2021,Cabarrus,8490
August 2021,Cabarrus,8728
September 2021,Cabarrus,8087
October 2021,Cabarrus,7461
November 2021,Cabarrus,7193
December 2021,Cabarrus,8656
January 2022,Cabarrus,7596
February 2022,Cabarrus,6311
March 2022,Cabarrus,7424
April 2022,Cabarrus,7630
May 2022,Cabarrus,8464
June 2022,Cabarrus,7934
July 2022,Cabarrus,8215
August 2022,Cabarrus,8255
September 2022,Cabarrus,8279
October 2022,Cabarrus,8969
November 2022,Cabarrus,9669
December 2022,Cabarrus,8865
January 2023,Cabarrus,8660
February 2023,Cabarrus,8295
March 2023,Cabarrus,8742
April 2023,Cabarrus,8642
May 2023,Cabarrus,8985
June 2023,Cabarrus,8306
July 2023,Cabarrus,8848
August 2023,Cabarrus,9058
September 2023,Cabarrus,8894
October 2023,Cabarrus,8953
November 2023,Cabarrus,9023
December 2023,Cabarrus,10429
January 2024,Cabarrus,8968
February 2024,Cabarrus,8350
March 2024,Cabarrus,9114
April 2024,Cabarrus,9367
May 2024,Cabarrus,9238
June 2024,Cabarrus,8874
July 2024,Cabarrus,8983
August 2024,Cabarrus,9335
September 2024,Cabarrus,8665
October 2024,Cabarrus,8537
November 2024,Cabarrus,8963
December 2024,Cabarrus,9462
January 2025,Cabarrus,9803
February 2025,Cabarrus,8258
March 2025,Cabarrus,8216
